Parameter,Lower,Upper,Source,Type,Binding
lmrse,392,588,Param,stomatal,None
fff,0.01,10,Param,Hydrology,None
jmaxb0,0.01,0.05,Param,stomatal,None
sucsat_sf,0.1,10,Param,hydrology,None
vcmaxse_sf,0.8,1.2,Param,stomatal,None
medlynintercept,"1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.","300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000.",Param,Stomatal resistance and photosynthesis,None
tpuha,45000,173000,Param,stomatal,None
liq_canopy_storage_scalar,0.025,4,Param,biophysics,None
kmax,5.83E-11,6.90E-09,Param,stomatal,None
jmaxse_sf,0.8,1.2,Param,stomatal,None
leafcn,15.599926,28.971292,Param,bgc,None
hksat_sf,0.1,10,Param,hydrology,None
baseflow_scalar,0.0005,0.1,Namelist,hydrology,None
watsat_sf,0.8,1.2,Param,hydrology,None
sand_pf,-20,20,Param,hydrology,None
d_max,5,100,Param,hydrology,None
krmax,"0,2.30E-11,2.60E-11,2.80E-11,1.10E-10,5.40E-11,8.00E-11,6.90E-11,9.30E-11,4.50E-11,7.40E-11,2.20E-11,1.00E-11,4.70E-11,8.20E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11","0,2.50E-10,2.90E-10,1.60E-10,1.90E-08,5.10E-10,1.00E-08,1.60E-10,2.10E-10,1.70E-09,1.10E-07,1.50E-10,1.90E-10,5.90E-08,1.00E-07,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09",Param,stomatal,None
theta_cj,0.8,0.999,Param,stomatal,None
dleaf,0.000774,0.113029,Param,biophysics,None
rootprof_beta,0.932114,0.954127,Param,stomatal,None
FUN_fracfixers,0,1,Param,bgc,None
zsno,0.00001,0.07,Param,biophysics,None
cv,0.0025,0.04,Param,biophysics,None
interception_fraction,0.5,1,Namelist,biophysics,None
bsw_sf,0.8,1.2,Param,hydrology,None
e_ice,1,8,Param,hydrology,None
FMAX,0.2,0.8,Surfdata,Hydrology(NoPPE),None
precip_repartition_nonglc_all_rain_t,0,4,Namelist,Hydrology(NoPPE),"precip_repartition_glc_all_rain_t,precip_repartition_glc_all_snow_t,precip_repartition_nonglc_all_snow_t"